segment_id,link_id,ref_node_id,start_lr,end_lr,capacity,free_speed,bike_facility,ped_facility,parking,allowed_uses,l_lanes_added,r_lanes_added
0,48463,1449,603.3022112023101,756.7217551274434,,,,,,,-1,0
1,48931,13626,1253.6230332270216,2398.293060625906,,,,,,,-1,0
2,48935,146,241.80272655781312,1941.6563614547713,,,,,,,1,0
3,48948,13545,485.7986020996346,693.4229665576242,,,,,,,-3,0
4,49502,1507,131.51278873004324,712.8121447230267,,,,,,,1,0
5,49843,29020,98.20990929916775,674.7551714901439,,,,,,,2,0
6,57083,11735,472.3992291813936,499.56363430126993,,,,,,,1,0
7,58507,13430,67.45392379744712,653.9185580878307,,,,,,,-1,0
8,58514,13457,569.5023628918791,674.0527454188755,,,,,,,-2,0
9,58521,13502,64.38388194354525,118.06796014168776,,,,,,,-1,0
10,58521,13502,118.06796014168776,187.08088937042874,,,,,,,-2,0
11,58536,16730,791.5326067693967,911.0664064370792,,,,,,,1,0
12,58559,13544,1698.8177431951606,1940.5998991239376,,,,,,,-1,0
13,58561,13581,785.6936059055045,798.1692213471604,,,,,,,1,0
14,58572,16642,44.19105973515035,7722.3471713499475,,,,,,,-1,0
15,58578,7712,359.8671091031601,926.7817369698162,,,,,,,1,0
16,58744,28371,635.9249663844303,676.9127434046057,,,,,,,-1,0
17,59045,6043,472.02303865138344,861.056729038183,,,,,,,-1,0
18,59301,14404,110.17366059660955,712.1122667352427,,,,,,,-1,0
19,59462,28370,718.6961712354413,3069.885162916797,,,,,,,-1,0
20,59581,13566,466.7696300434912,2515.066361531566,,,,,,,1,0
21,59583,13599,1186.8990949808222,2518.959884155649,,,,,,,1,0
22,61110,8,1030.5735138582058,6093.545740813057,,,,,,,1,0
23,61445,3340,336.0244630315501,10719.212338021847,,,,,,,1,0
24,61447,10619,10694.841326984148,10792.869158522852,,,,,,,-1,0
25,66721,6184,1142.0841921314948,2393.9867041534108,,,,,,,1,0
26,66911,22704,4068.1379013900246,4277.793759010565,,,,,,,1,0
27,67493,17588,7135.141511913591,8439.950618814495,,,,,,,1,0
28,67494,12218,1304.809106900905,8439.950618814497,,,,,,,-1,0
29,69065,3191,64.8667660116185,24442.548054237974,,,,,,,-1,0
